Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.3-192.168.1.46-56362-445-6,192.168.1.3,56362,192.168.1.46,445,6,15/01/2024 09:48:09 AM,220007,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181239687828114,73335.66666666666,110433.24295851015,200356.0,85.0,200356.0,200356.0,0.0,200356.0,200356.0,85.0,85.0,0.0,85.0,85.0,0,0,0,0,40,76,9.090619843914057,9.090619843914057,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
152.199.21.118-192.168.1.46-443-49926-6,152.199.21.118,443,192.168.1.46,49926,6,15/01/2024 09:48:33 AM,0,2,1,31.0,64.0,31.0,0.0,15.5,21.920310216782973,64.0,64.0,64.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,40,20,0.0,0.0,0.0,64.0,39.75,30.728651125618907,944.25,0,0,0,1,1,0,0,0,0.0,53.0,15.5,64.0,0,0,0,0,0,0,2,31,1,64,-1,133,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.3-192.168.1.46-56109-80-6,192.168.1.3,56109,192.168.1.46,80,6,15/01/2024 09:48:00 AM,39381144,7,7,221.0,0.0,168.0,0.0,31.571428571428573,60.56637445221328,0.0,0.0,0.0,0.0,5.611822754564977,0.35550008399959127,3029318.76923077,5661689.80911995,1.4972144E7,0.0,3.9377649E7,6562941.5,7064671.5523387985,1.5024696E7,0.0,3.2179722E7,5363287.0,7521523.571836041,1.5025105E7,67.0,0,0,0,0,140,176,0.17775004199979563,0.17775004199979563,0.0,168.0,14.73333333333333,42.8710136283691,1837.9238095238093,0,1,0,0,0,0,0,0,1.0,15.785714285714286,31.571428571428573,0.0,0,0,0,0,0,0,7,221,7,0,-1,512,5,0,1094764.0,1473910.345267988,2136976.0,52552.0,1.49686165E7,4988.638341271093,1.4972144E7,1.4965089E7,No Label
192.168.1.3-192.168.1.46-56111-80-6,192.168.1.3,56111,192.168.1.46,80,6,15/01/2024 09:48:00 AM,39374094,7,7,220.0,0.0,168.0,0.0,31.428571428571427,60.59938707846568,0.0,0.0,0.0,0.0,5.58743015140869,0.3555637369078257,3028776.461538462,5661615.948741367,1.4971646E7,0.0,3.9370596E7,6561766.0,7064796.866911574,1.5023796E7,0.0,3.2172674E7,5362112.333333333,7521623.4673575265,1.5024609E7,58.0,0,0,0,0,140,176,0.17778186845391286,0.17778186845391286,0.0,168.0,14.666666666666668,42.86301547066066,1837.2380952380952,0,1,0,0,0,0,0,0,1.0,15.714285714285714,31.428571428571427,0.0,0,0,0,0,0,0,7,220,7,0,-1,512,5,0,1091037.5,1469208.7922798789,2129925.0,52150.0,1.4968818E7,3999.395954391113,1.4971646E7,1.496599E7,No Label
192.168.1.3-192.168.1.46-56112-80-6,192.168.1.3,56112,192.168.1.46,80,6,15/01/2024 09:48:00 AM,39370596,7,7,220.0,0.0,168.0,0.0,31.428571428571427,60.62413475082109,0.0,0.0,0.0,0.0,5.587926583585374,0.35559532804634203,3028507.384615385,5661947.528092572,1.4972482E7,0.0,3.9367367E7,6561227.833333333,7065577.422006935,1.5024642E7,0.0,3.2169188E7,5361531.333333333,7522113.373262987,1.5024611E7,102.0,0,0,0,0,140,176,0.17779766402317101,0.17779766402317101,0.0,168.0,14.666666666666664,42.87801079252406,1838.5238095238096,0,1,0,0,0,0,0,0,1.0,15.714285714285714,31.428571428571427,0.0,0,0,0,0,0,0,7,220,7,0,-1,512,5,0,1089302.5,1466740.9896135377,2126445.0,52160.0,1.4969227E7,4603.265145524424,1.4972482E7,1.4965972E7,No Label
192.168.1.3-192.168.1.46-56108-80-6,192.168.1.3,56108,192.168.1.46,80,6,15/01/2024 09:48:00 AM,39385856,7,7,222.0,0.0,168.0,0.0,31.714285714285715,60.53570375052585,0.0,0.0,0.0,0.0,5.636541198952234,0.35545755308707777,3029681.230769231,5661435.960389071,1.497215E7,0.0,3.9381104E7,6563517.333333334,7064030.415247535,1.5024696E7,0.0,3.2184786E7,5364131.0,7520928.444358821,1.5025462E7,68.0,0,0,0,0,140,176,0.17772877654353889,0.17772877654353889,0.0,168.0,14.800000000000002,42.880565028260264,1838.7428571428572,0,1,0,0,0,0,0,0,1.0,15.857142857142858,31.714285714285715,0.0,0,0,0,0,0,0,7,222,7,0,-1,512,5,0,1097121.0,1477252.1319158757,2141696.0,52546.0,1.4968616E7,4997.830729426518,1.497215E7,1.4965082E7,No Label
192.168.1.3-192.168.1.46-56110-80-6,192.168.1.3,56110,192.168.1.46,80,6,15/01/2024 09:48:00 AM,39377638,7,7,218.0,0.0,168.0,0.0,31.14285714285714,60.716358508034645,0.0,0.0,0.0,0.0,5.53613703290177,0.3555317360579119,3029049.076923077,5661847.294333986,1.497215E7,0.0,3.9374088E7,6562348.0,7065290.9457885735,1.5024696E7,0.0,3.2176211E7,5362701.833333334,7522020.115847802,1.5025105E7,50.0,0,0,0,0,140,176,0.17776586802895594,0.17776586802895594,0.0,168.0,14.533333333333335,42.87834396233582,1838.5523809523804,0,1,0,0,0,0,0,0,1.0,15.571428571428571,31.142857142857142,0.0,0,0,0,0,0,0,7,218,7,0,-1,512,5,0,1093005.0,1471431.228893148,2133464.0,52546.0,1.4968623E7,4987.931234489906,1.497215E7,1.4965096E7,No Label
192.168.1.3-192.168.1.46-56113-80-6,192.168.1.3,56113,192.168.1.46,80,6,15/01/2024 09:48:00 AM,39367362,7,7,221.0,0.0,168.0,0.0,31.571428571428573,60.56637445221328,0.0,0.0,0.0,0.0,5.61378738052095,0.35562453994250365,3028258.615384616,5662200.083992478,1.497298E7,0.0,3.9363825E7,6560637.5,7066260.815651196,1.5024647E7,0.0,3.216595E7,5360991.666666666,7522572.616892033,1.5025106E7,57.0,0,0,0,0,140,176,0.17781226997125182,0.17781226997125182,0.0,168.0,14.73333333333333,42.8710136283691,1837.9238095238093,0,1,0,0,0,0,0,0,1.0,15.785714285714286,31.571428571428573,0.0,0,0,0,0,0,0,7,221,7,0,-1,512,5,0,1087438.0,1464801.395712743,2123209.0,51667.0,1.4969474E7,4958.232749680071,1.497298E7,1.4965968E7,No Label
192.168.1.3-192.168.1.46-56108-80-6,192.168.1.46,80,192.168.1.3,56108,6,15/01/2024 09:48:39 AM,184,2,1,531.0,0.0,531.0,0.0,265.5,375.47370081005676,0.0,0.0,0.0,0.0,2885869.565217391,16304.347826086956,92.0,41.012193308819754,121.0,63.0,121.0,121.0,0.0,121.0,121.0,0,0,0,0,0,0,0,0,0,40,20,10869.565217391304,5434.782608695652,0.0,531.0,132.75,265.5,70490.25,0,0,0,0,1,0,0,0,0.0,177.0,265.5,0.0,0,0,0,0,0,0,2,531,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.3-192.168.1.46-56113-80-6,192.168.1.46,80,192.168.1.3,56113,6,15/01/2024 09:48:39 AM,188,2,1,531.0,0.0,531.0,0.0,265.5,375.47370081005676,0.0,0.0,0.0,0.0,2824468.085106383,15957.44680851064,94.0,31.11269837220809,116.0,72.0,72.0,72.0,0.0,72.0,72.0,0,0,0,0,0,0,0,0,0,40,20,10638.297872340427,5319.148936170213,0.0,531.0,132.75,265.5,70490.25,0,0,0,0,1,0,0,0,0.0,177.0,265.5,0.0,0,0,0,0,0,0,2,531,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
