Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.46-2.22.248.14-49944-443-6,192.168.1.46,49944,2.22.248.14,443,6,15/01/2024 09:52:35 AM,304132,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576091960069969,304132.0,0.0,304132.0,304132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.2880459800349846,3.2880459800349846,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1022,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-2.22.248.14-49944-443-6,192.168.1.46,49944,2.22.248.14,443,6,15/01/2024 09:52:36 AM,1214000,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6474464579901154,1214000.0,0.0,1214000.0,1214000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8237232289950577,0.8237232289950577,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1022,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.12-192.168.1.46-56792-49959-6,192.168.1.46,49959,192.168.1.12,56792,6,15/01/2024 09:52:40 AM,4039,2,5,231.0,794.0,231.0,0.0,115.5,163.3416664540925,694.0,0.0,158.8,302.30315909695685,253775.6870512503,1733.102253032929,673.1666666666666,749.9481093160157,1756.0,0.0,147.0,147.0,0.0,147.0,147.0,4039.0,1009.75,819.2485886469381,1756.0,0.0,0,0,0,0,40,124,495.1720722951226,1237.9301807378063,0.0,694.0,128.125,243.09577036926942,59095.55357142857,0,1,0,0,0,0,0,0,2.0,146.42857142857142,115.5,158.8,0,0,0,0,0,0,2,231,5,794,-1,214,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.12-192.168.1.46-56792-49959-6,192.168.1.46,49959,192.168.1.12,56792,6,15/01/2024 09:52:40 AM,529,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3780.718336483932,529.0,0.0,529.0,529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1890.359168241966,1890.359168241966,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.25-192.168.1.46-60000-49960-6,192.168.1.46,49960,192.168.1.25,60000,6,15/01/2024 09:52:40 AM,2375310,4,5,275.0,1119.0,275.0,0.0,68.75,137.5,901.0,0.0,223.8,390.15791674653997,586.8707663420774,3.788979122725034,296913.75,793227.9776295176,2258633.0,21.0,2288415.0,762805.0,1295507.940235412,2258633.0,236.0,116656.0,29164.0,40464.94342020016,86804.0,421.0,0,0,0,0,80,124,1.6839907212111263,2.104988401513908,0.0,901.0,139.4,286.86551243086404,82291.82222222222,0,1,0,0,0,0,0,0,1.0,154.88888888888889,68.75,223.8,0,0,0,0,0,0,4,275,5,1119,-1,1407,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-216.58.205.35-49952-443-6,192.168.1.46,49952,216.58.205.35,443,6,15/01/2024 09:52:39 AM,3338981,10,17,564.0,7205.0,328.0,0.0,56.40000000000001,101.21286699053853,1320.0,0.0,423.82352941176475,579.3848284273283,2326.7577743029983,8.086299382955458,128422.34615384616,627033.3756553597,3202412.0,0.0,3319800.0,368866.6666666667,1073591.0554430163,3231523.0,305.0,136569.0,8535.5625,10715.382668349584,29996.0,0.0,0,0,0,0,200,376,2.9949256973909106,5.091373685564548,0.0,1320.0,277.4642857142857,486.59904264895374,236778.6283068783,0,1,0,0,0,0,0,0,1.0,287.74074074074076,56.4,423.8235294117647,0,0,0,0,0,0,10,564,17,7205,-1,281,5,0,0,0,0,0,0,0,0,0,No Label
142.250.180.162-192.168.1.46-443-49970-6,192.168.1.46,49970,142.250.180.162,443,6,15/01/2024 09:52:42 AM,272310,6,10,74.0,6782.0,74.0,0.0,12.333333333333334,30.210373494325864,1320.0,0.0,678.1999999999999,633.0374396510841,25177.187763945505,58.75656420990783,18154.0,36109.047413949556,138833.0,0.0,255760.0,51152.0,56677.48877640928,138833.0,1271.0,89286.0,9920.666666666666,11987.395036036813,30034.0,0.0,0,0,0,0,120,236,22.033711578715433,36.72285263119239,0.0,1320.0,403.29411764705884,583.4526292581388,340416.97058823524,0,1,0,0,0,0,0,0,1.0,428.5,12.333333333333334,678.2,0,0,0,0,0,0,6,74,10,6782,-1,271,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-108.177.127.100-49965-443-6,192.168.1.46,49965,108.177.127.100,443,6,15/01/2024 09:52:41 AM,933995,8,12,74.0,9046.0,74.0,0.0,9.25,26.16295090390226,1320.0,0.0,753.8333333333333,646.2464817324077,9764.506233973416,21.413390863976787,49157.63157894737,177361.79753205358,778804.0,0.0,898243.0,128320.42857142857,288295.74503904674,778804.0,21.0,113378.0,10307.090909090908,16550.200557422533,37452.0,0.0,0,0,0,0,172,264,8.565356345590715,12.848034518386072,0.0,1320.0,434.2857142857142,610.6531865844264,372897.3142857143,0,1,0,0,0,0,0,0,1.0,456.0,9.25,753.8333333333334,0,0,0,0,0,0,8,74,12,9046,-1,277,1,0,0,0,0,0,0,0,0,0,No Label
142.251.209.3-192.168.1.46-443-49966-6,192.168.1.46,49966,142.251.209.3,443,6,15/01/2024 09:52:41 AM,889745,6,10,74.0,6914.0,74.0,0.0,12.333333333333334,30.210373494325864,1320.0,0.0,691.4,630.0166135375586,7853.935678199934,17.98268043090998,59316.33333333333,195499.46995020096,764182.0,0.0,873236.0,174647.2,330802.6358097831,764182.0,315.0,76685.0,8520.555555555555,10367.874241028283,24927.0,0.0,0,0,0,0,120,236,6.7435051615912425,11.239175269318737,0.0,1320.0,411.05882352941177,585.5352754732454,342851.5588235294,0,1,0,0,0,0,0,0,1.0,436.75,12.333333333333334,691.4,0,0,0,0,0,0,6,74,10,6914,-1,271,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-216.58.204.228-49957-443-6,192.168.1.46,49957,216.58.204.228,443,6,15/01/2024 09:52:40 AM,2385970,5,10,74.0,5541.0,74.0,0.0,14.8,33.09380606699689,1320.0,0.0,554.0999999999999,663.9488685132312,2353.340570082608,6.286751300309727,170426.42857142858,614651.5577655754,2305734.0,0.0,2368261.0,592065.25,1159317.550245366,2330873.0,319.0,80236.0,8915.11111111111,10938.276960340285,26960.0,0.0,0,0,0,0,100,224,2.0955837667699093,4.191167533539819,0.0,1320.0,350.9375,581.5314802312942,338178.86250000005,0,1,0,0,0,0,0,0,2.0,374.3333333333333,14.8,554.1,0,0,0,0,0,0,5,74,10,5541,-1,277,1,0,0,0,0,0,0,0,0,0,No Label
