Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.27-35.244.181.201-46554-443-6,192.168.1.27,46554,35.244.181.201,443,6,23/01/2024 05:10:33 PM,341,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,225806.45161290324,8797.653958944282,170.5,212.83914113715082,321.0,20.0,20.0,20.0,0.0,20.0,20.0,0,0,0,0,0,0,1,0,0,64,32,5865.102639296188,2932.551319648094,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-35.244.181.201-46554-443-6,35.244.181.201,443,192.168.1.27,46554,6,23/01/2024 05:10:33 PM,7421,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.5054574855141,7421.0,0.0,7421.0,7421.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,134.75272874275706,134.75272874275706,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,269,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-34.120.115.102-43982-443-6,192.168.1.27,43982,34.120.115.102,443,6,23/01/2024 05:10:35 PM,313,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,201277.95527156547,9584.664536741213,156.5,202.93964620053913,300.0,13.0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,0,0,1,0,0,64,32,6389.776357827475,3194.8881789137376,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-34.120.115.102-43982-443-6,34.120.115.102,443,192.168.1.27,43982,6,23/01/2024 05:10:35 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,277,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-23.220.255.13-40240-80-6,192.168.1.27,40240,23.220.255.13,80,6,23/01/2024 05:10:22 PM,53693571,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24211464720794973,4474464.25,5115755.883588734,1.0273827E7,14841.0,4.3404903E7,8680980.6,3443150.4156114496,1.0234852E7,2521735.0,5.1194236E7,8532372.666666666,4172841.4019019064,1.0292872E7,14841.0,0,0,0,0,192,224,0.11174522178828449,0.13036942541966523,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,7,0,-1,506,0,0,17941.8,2039.9638967393519,20068.0,14841.0,1.02164254E7,35219.31905644968,1.0273827E7,1.0184781E7,No Label
192.168.1.27-23.220.255.13-40198-80-6,192.168.1.27,40198,23.220.255.13,80,6,23/01/2024 05:10:22 PM,53693734,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24211391221180484,4474477.833333334,5115823.465065013,1.0273949E7,14787.0,4.3404998E7,8680999.6,3443063.813874323,1.0234789E7,2521909.0,5.1194182E7,8532363.666666666,4172863.4466750366,1.0292872E7,14787.0,0,0,0,0,192,224,0.11174488255929453,0.1303690296525103,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,7,0,-1,506,0,0,17861.4,2028.6642896250723,20017.0,14787.0,1.02165036E7,35245.08661217901,1.0273949E7,1.0184832E7,No Label
192.168.1.27-23.220.255.13-40230-80-6,192.168.1.27,40230,23.220.255.13,80,6,23/01/2024 05:10:22 PM,53693863,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24211333053090256,4474488.583333332,5114535.285611755,1.0273959E7,14771.0,4.3405133E7,8681026.6,3443002.29871435,1.0234787E7,2522046.0,5.1194166E7,8532361.0,4172862.920352261,1.0292872E7,14771.0,0,0,0,0,192,224,0.1117446140911858,0.13036871643971676,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,7,0,-1,506,0,0,19277.8,3372.580199194676,24185.0,14771.0,1.02150856E7,35365.03467126817,1.0273959E7,1.0184892E7,No Label
192.168.1.27-23.220.255.13-40216-80-6,192.168.1.27,40216,23.220.255.13,80,6,23/01/2024 05:10:22 PM,53694231,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24211167117748644,4474519.25,5115790.154549417,1.0273912E7,14797.0,4.3405522E7,8681104.4,3442845.1080419375,1.0234794E7,2522405.0,5.1194192E7,8532365.333333334,4172859.3643096415,1.0292872E7,14797.0,0,0,0,0,192,224,0.11174384823576297,0.13036782294172347,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,7,0,-1,506,0,0,17878.6,2030.9412349942575,20024.0,14797.0,1.02164866E7,35234.864570479054,1.0273912E7,1.0184825E7,No Label
192.168.1.27-23.220.255.13-40202-80-6,192.168.1.27,40202,23.220.255.13,80,6,23/01/2024 05:10:22 PM,53694250,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24211158550496564,4474520.833333333,5115761.634382115,1.0273856E7,14807.0,4.3405587E7,8681117.4,3442842.257836002,1.0234854E7,2522423.0,5.1194202E7,8532367.0,4172855.281944247,1.0292872E7,14807.0,0,0,0,0,192,224,0.11174380869459952,0.1303677768103661,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,7,0,-1,506,0,0,17909.0,2042.3402018273057,20033.0,14807.0,1.02164564E7,35215.4040556118,1.0273856E7,1.0184816E7,No Label
192.168.1.5-192.168.1.46-8009-50032-6,192.168.1.5,8009,192.168.1.46,50032,6,23/01/2024 05:10:20 PM,100343514,26,49,1980.0,3190.0,110.0,0.0,76.15384615384615,51.77465967648058,110.0,0.0,65.10204081632654,54.62456899065627,51.52301124315818,0.7474324648427202,1355993.4324324324,1968430.4448484806,4962202.0,0.0,8.0933337E7,3237333.4800000004,2874714.0769243343,8261719.0,0.0,1.00343514E8,2090489.8749999998,2115918.5923704538,4962202.0,39815.0,0,1,0,0,592,1016,0.2591099211454763,0.48832254369724387,0.0,110.0,69.47368421052629,53.41397412268579,2853.052631578947,0,0,0,1,1,0,0,0,1.0,70.4,76.15384615384616,65.10204081632654,0,0,0,0,0,0,26,1980,49,3190,-1,509,18,0,0,0,0,0,0,0,0,0,No Label
