Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.46-66.235.152.156-49714-443-6,66.235.152.156,443,192.168.1.46,49714,6,24/01/2024 09:01:27 PM,185,0,2,0.0,39.0,0,0,0,0,39.0,0.0,19.5,27.577164466275352,210810.81081081083,10810.810810810812,185.0,0.0,185.0,185.0,0,0,0,0,0,185.0,185.0,0.0,185.0,185.0,0,1,0,0,0,40,0.0,10810.810810810812,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,0.0,39.0,0.0,19.5,0,0,0,0,0,0,0,0,2,39,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-66.235.152.156-49714-443-6,66.235.152.156,443,192.168.1.46,49714,6,24/01/2024 09:01:27 PM,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,476,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.12-192.168.1.46-56792-49760-6,192.168.1.46,49760,192.168.1.12,56792,6,24/01/2024 09:01:29 PM,55439,2,5,231.0,794.0,231.0,0.0,115.5,163.3416664540925,694.0,0.0,158.8,302.30315909695685,18488.78948032973,126.26490376810548,9239.833333333334,20255.354980021126,50529.0,42.0,119.0,119.0,0.0,119.0,119.0,55439.0,13859.75,24573.385336918203,50690.0,746.0,0,0,0,0,40,124,36.07568679088728,90.1892169772182,0.0,694.0,128.125,243.09577036926942,59095.55357142857,0,1,0,0,0,0,0,0,2.0,146.42857142857142,115.5,158.8,0,0,0,0,0,0,2,231,5,794,-1,214,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.12-192.168.1.46-56792-49760-6,192.168.1.46,49760,192.168.1.12,56792,6,24/01/2024 09:01:29 PM,235,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8510.638297872341,235.0,0.0,235.0,235.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4255.319148936171,4255.319148936171,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-2.20.158.181-49768-80-6,192.168.1.46,49768,2.20.158.181,80,6,24/01/2024 09:01:31 PM,39462,2,6,346.0,296.0,346.0,0.0,173.0,244.65894629054543,296.0,0.0,49.333333333333336,120.84149397730346,16268.815569408545,202.72667376210026,5637.428571428572,10061.47064891846,24966.0,0.0,70.0,70.0,0.0,70.0,70.0,39462.0,7892.4,11452.211524417457,25090.0,0.0,0,0,0,0,40,144,50.681668440525065,152.0450053215752,0.0,346.0,71.33333333333333,142.09855734665288,20192.0,0,1,0,0,0,0,0,0,3.0,80.25,173.0,49.333333333333336,0,0,0,0,0,0,2,346,6,296,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-2.20.158.181-49768-80-6,192.168.1.46,49768,2.20.158.181,80,6,24/01/2024 09:01:31 PM,34,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58823.529411764706,34.0,0.0,34.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,29411.764705882353,29411.764705882353,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.25-192.168.1.46-60000-49761-6,192.168.1.46,49761,192.168.1.25,60000,6,24/01/2024 09:01:29 PM,2053742,5,6,275.0,2020.0,275.0,0.0,55.0,122.98373876248844,901.0,0.0,336.6666666666667,445.2099130372848,1117.4723991621147,5.35607685872909,205374.2,639683.7725944142,2025904.0,19.0,2052088.0,513022.0,1008606.3821372538,2025904.0,152.0,27804.0,5560.799999999999,5096.582551082636,12323.0,533.0,0,0,0,0,112,144,2.4345803903314045,2.9214964683976854,0.0,901.0,191.25,344.80986196611445,118893.84090909091,0,1,0,0,0,0,0,0,1.0,208.63636363636363,55.0,336.6666666666667,0,0,0,0,0,0,5,275,6,2020,-1,1407,1,0,0,0,0,0,0,0,0,0,No Label
142.251.209.35-192.168.1.46-443-49755-6,192.168.1.46,49755,142.251.209.35,443,6,24/01/2024 09:01:28 PM,2980625,11,17,565.0,7794.0,329.0,0.0,51.36363636363636,97.79700683279907,1320.0,0.0,458.47058823529414,565.6613516105572,2804.44537638918,9.394002935625918,110393.51851851853,543428.4152638527,2829094.0,0.0,2947903.0,294790.30000000005,900807.4449649233,2858216.0,177.0,151531.0,9470.6875,12136.09926744037,32648.0,0.0,0,0,0,0,220,376,3.6905011532816108,5.703501782344307,0.0,1320.0,288.2413793103448,478.3952830014418,228862.0467980296,0,1,0,0,0,0,0,0,1.0,298.5357142857143,51.36363636363637,458.47058823529414,0,0,0,0,0,0,11,565,17,7794,-1,282,5,0,0,0,0,0,0,0,0,0,No Label
142.250.180.164-192.168.1.46-443-49757-6,192.168.1.46,49757,142.250.180.164,443,6,24/01/2024 09:01:29 PM,2597069,6,10,74.0,5539.0,74.0,0.0,12.333333333333334,30.210373494325864,1320.0,0.0,553.9,664.0472623741978,2161.2825843287183,6.1607912612256355,173137.93333333335,635589.3930204206,2470041.0,0.0,2567071.0,513414.2,1119470.8240765813,2515664.0,25.0,127028.0,14114.222222222223,18470.013283548134,49295.0,0.0,0,0,0,0,132,236,2.3102967229596136,3.8504945382660223,0.0,1320.0,330.17647058823536,569.4776373236834,324304.7794117647,0,1,0,0,0,0,0,0,1.0,350.8125,12.333333333333334,553.9,0,0,0,0,0,0,6,74,10,5539,-1,271,1,0,0,0,0,0,0,0,0,0,No Label
142.250.180.164-192.168.1.46-443-49758-6,192.168.1.46,49758,142.250.180.164,443,6,24/01/2024 09:01:29 PM,2596938,5,10,74.0,5539.0,74.0,0.0,14.8,33.09380606699689,1320.0,0.0,553.9,664.0472623741978,2161.3916081169436,5.776033159051159,185495.57142857142,657722.948591311,2470084.0,0.0,2567102.0,641775.5,1248334.5080996251,2513917.0,312.0,126854.0,14094.88888888889,17544.575674866326,44371.0,0.0,0,0,0,0,100,236,1.9253443863503863,3.8506887727007726,0.0,1320.0,350.8125,581.5523156460932,338203.09583333327,0,1,0,0,0,0,0,0,2.0,374.2,14.8,553.9,0,0,0,0,0,0,5,74,10,5539,-1,271,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.46-216.58.205.33-49762-443-6,192.168.1.46,49762,216.58.205.33,443,6,24/01/2024 09:01:30 PM,1351649,12,20,772.0,11710.0,536.0,0.0,64.33333333333333,151.97268494600263,1320.0,0.0,585.5,631.9684785610251,9234.645976877133,23.674785391769607,43601.58064516129,153272.1879195688,744500.0,0.0,1324191.0,120381.0,255713.3821042614,761712.0,99.0,607149.0,31955.21052631579,102786.08760029462,454173.0,0.0,0,0,0,0,252,424,8.878044521913603,14.796740869856004,0.0,1320.0,378.2424242424243,559.7711602913636,313343.7518939394,0,1,0,0,0,0,0,0,1.0,390.0625,64.33333333333333,585.5,0,0,0,0,0,0,12,772,20,11710,-1,287,5,0,0,0,0,0,0,0,0,0,No Label
184.26.10.52-192.168.1.46-443-49763-6,192.168.1.46,49763,184.26.10.52,443,6,24/01/2024 09:01:30 PM,1193645,16,24,2475.0,9162.0,1214.0,0.0,154.68750000000003,346.9719909445142,1320.0,0.0,381.7500000000001,520.3016892400859,9749.129766387829,33.510800950031204,30606.282051282054,86502.93843805743,473385.0,0.0,1171270.0,78084.66666666667,133637.0931364207,473385.0,4.0,676583.0,29416.652173913044,60386.82625269785,206716.0,0.0,0,0,0,0,344,516,13.404320380012482,20.10648057001872,0.0,1320.0,283.82926829268285,463.94465739132204,215244.64512195118,0,1,0,0,0,0,0,0,1.0,290.925,154.6875,381.75,0,0,0,0,0,0,16,2475,24,9162,-1,501,6,0,0,0,0,0,0,0,0,0,No Label
