Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.16-192.168.1.46-50112-21-6,192.168.1.16,50112,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35261629,18,28,193.0,617.0,16.0,0.0,10.722222222222221,5.050399582974839,61.0,0.0,22.035714285714278,18.88460502309505,22.971145207159886,1.3045341722584627,783591.7555555557,2061898.62342865,9960512.0,34.0,3.5250653E7,2073567.8235294118,3020624.3533194475,1.0007949E7,2680.0,2.5301117E7,937078.4074074075,1878929.9329762806,6914176.0,34.0,0,0,0,0,360,584,0.5104698934924419,0.7940642787660207,0.0,61.0,17.23404255319149,15.994853473862266,255.8353376503238,0,1,0,0,0,0,0,0,1.0,17.608695652173914,10.722222222222221,22.035714285714285,0,0,0,0,0,0,18,193,28,617,-1,512,15,0,6186738.5,8677468.047617605,1.2322635E7,50842.0,6431602.5,682461.9885418528,6914176.0,5949029.0,No Label
192.168.1.16-192.168.1.46-50115-21-6,192.168.1.16,50115,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35250647,18,28,196.0,617.0,17.0,0.0,10.88888888888889,5.211851752766042,61.0,0.0,22.035714285714278,18.88460502309505,23.063406467404697,1.304940587331631,783347.7111111111,2062004.8191097863,9960524.0,0.0,3.5230501E7,2072382.411764706,3021656.057445612,1.0007943E7,0.0,2.5290123E7,936671.2222222224,1879183.1487948599,6914289.0,15.0,0,0,0,0,360,584,0.5106289254775948,0.7943116618540363,0.0,61.0,17.297872340425535,15.98765134016417,255.60499537465319,0,1,0,0,0,0,0,0,1.0,17.67391304347826,10.88888888888889,22.035714285714285,0,0,0,0,0,0,18,196,28,617,-1,512,15,0,6181192.5,8669786.039546795,1.2311657E7,50728.0,6431697.5,682487.4443859755,6914289.0,5949106.0,No Label
192.168.1.16-192.168.1.46-50114-21-6,192.168.1.16,50114,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35252277,18,28,195.0,617.0,16.0,0.0,10.833333333333332,5.136375467309265,61.0,0.0,22.035714285714278,18.88460502309505,23.03397309626269,1.3048802492956697,783383.9333333333,2062067.2288557729,9962162.0,14.0,3.5232132E7,2072478.3529411764,3021761.1543089394,1.0009135E7,1232.0,2.5290115E7,936670.9259259261,1878967.1732140696,6914230.0,14.0,0,0,0,0,360,584,0.5106053149417837,0.7942749343538859,0.0,61.0,17.276595744680854,15.98736203008023,255.59574468085108,0,1,0,0,0,0,0,0,1.0,17.652173913043477,10.833333333333334,22.035714285714285,0,0,0,0,0,0,18,195,28,617,-1,512,15,0,6181239.5,8669725.228363613,1.2311661E7,50818.0,6431625.5,682505.8291622864,6914230.0,5949021.0,No Label
192.168.1.16-192.168.1.46-50110-21-6,192.168.1.16,50110,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35290475,18,28,190.0,617.0,16.0,0.0,10.555555555555554,4.9612880469659615,61.0,0.0,22.035714285714278,18.88460502309505,22.86736010212387,1.303467862078932,784232.7777777779,2061703.577743161,9962138.0,19.0,3.5259873E7,2074110.1764705882,3021095.119239984,1.0009135E7,2703.0,2.5328337E7,938086.5555555555,1878175.5251677772,6914126.0,19.0,0,0,0,0,360,584,0.5100526416830604,0.7934152203958716,0.0,61.0,17.170212765957444,16.011299201740613,256.3617021276596,0,1,0,0,0,0,0,0,1.0,17.543478260869566,10.555555555555555,22.035714285714285,0,0,0,0,0,0,18,190,28,617,-1,512,15,0,6200379.5,8696636.29824201,1.234983E7,50929.0,6431534.0,682488.1514927567,6914126.0,5948942.0,No Label
192.168.1.16-192.168.1.46-50113-21-6,192.168.1.16,50113,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35252283,18,28,195.0,617.0,17.0,0.0,10.833333333333334,5.181982359722058,61.0,0.0,22.035714285714278,18.88460502309505,23.03396917584033,1.3048800272027772,783384.0666666667,2062174.4086408406,9962152.0,15.0,3.5232137E7,2072478.6470588236,3021810.030137979,1.0009579E7,964.0,2.5290131E7,936671.5185185187,1879168.3695178602,6914216.0,15.0,0,0,0,0,360,584,0.5106052280358694,0.7942747991669079,0.0,61.0,17.276595744680847,15.992800183968075,255.7696577243293,0,1,0,0,0,0,0,0,1.0,17.652173913043477,10.833333333333334,22.035714285714285,0,0,0,0,0,0,18,195,28,617,-1,512,15,0,6181233.5,8669723.81415005,1.2311654E7,50813.0,6431651.0,682449.9677265726,6914216.0,5949086.0,No Label
192.168.1.16-192.168.1.46-50117-21-6,192.168.1.16,50117,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35230339,18,28,192.0,617.0,15.0,0.0,10.666666666666668,5.01761602638497,61.0,0.0,22.035714285714278,18.88460502309505,22.96316251739729,1.3056928007419968,782896.4222222222,2062918.679613817,9968014.0,20.0,3.522899E7,2072293.5294117648,3023005.9135293863,1.0013795E7,443.0,2.5262325E7,935641.6666666667,1879537.818051555,6914343.0,20.0,0,0,0,0,360,584,0.510923269855564,0.7947695308864329,0.0,61.0,17.212765957446802,15.999913274510565,255.9972247918594,0,1,0,0,0,0,0,0,1.0,17.58695652173913,10.666666666666666,22.035714285714285,0,0,0,0,0,0,18,192,28,617,-1,512,15,0,6167267.0,8650136.249204403,1.2283837E7,50697.0,6431750.5,682488.8585995379,6914343.0,5949158.0,No Label
192.168.1.16-192.168.1.46-50111-21-6,192.168.1.16,50111,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35290180,18,28,196.0,617.0,17.0,0.0,10.88888888888889,5.223126051670014,61.0,0.0,22.035714285714278,18.88460502309505,23.037570224918095,1.3034787581134468,784226.2222222222,2062461.035214703,9968019.0,17.0,3.526574E7,2074455.294117647,3021982.23670753,1.0014604E7,2704.0,2.5322161E7,937857.8148148146,1878494.8947866794,6914106.0,17.0,0,0,0,0,360,584,0.51005690534874,0.7934218527647068,0.0,61.0,17.29787234042554,15.98901102743765,255.64847363552275,0,1,0,0,0,0,0,0,1.0,17.67391304347826,10.88888888888889,22.035714285714285,0,0,0,0,0,0,18,196,28,617,-1,512,15,0,6197288.5,8692303.1478869,1.2343675E7,50902.0,6431537.5,682454.9174740409,6914106.0,5948969.0,No Label
192.168.1.16-192.168.1.46-50116-21-6,192.168.1.16,50116,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35258147,18,28,193.0,617.0,15.0,0.0,10.722222222222225,5.050399582974839,61.0,0.0,22.035714285714278,18.88460502309505,22.973413775828888,1.3046630045532455,783514.3777777778,2062777.6151705817,9968016.0,20.0,3.5238001E7,2072823.588235294,3022664.1294030473,1.0014604E7,2012.0,2.5290131E7,936671.5185185185,1879186.9007699,6914286.0,20.0,0,0,0,0,360,584,0.5105203061295308,0.7941426984237147,0.0,61.0,17.23404255319149,15.994853473862264,255.83533765032374,0,1,0,0,0,0,0,0,1.0,17.608695652173914,10.722222222222221,22.035714285714285,0,0,0,0,0,0,18,193,28,617,-1,512,15,0,6181192.0,8669776.847158639,1.231165E7,50734.0,6431725.5,682443.6037655419,6914286.0,5949165.0,No Label
192.168.1.16-192.168.1.46-50109-21-6,192.168.1.16,50109,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35299870,18,28,193.0,617.0,16.0,0.0,10.722222222222221,5.062033485323457,61.0,0.0,22.035714285714278,18.88460502309505,22.946260142034518,1.3031209463377629,784441.5555555556,2063042.6670833956,9968011.0,16.0,3.526574E7,2074455.294117647,3021685.912333725,1.0014604E7,1470.0,2.5331859E7,938217.0,1879534.8148442106,6914187.0,16.0,0,0,0,0,360,584,0.5099168920452115,0.7932040542925513,0.0,61.0,17.234042553191493,15.996212548950249,255.87881591119339,0,1,0,0,0,0,0,0,1.0,17.608695652173914,10.722222222222221,22.035714285714285,0,0,0,0,0,0,18,193,28,617,-1,512,15,0,6202105.5,8699204.51007128,1.2353372E7,50839.0,6431593.0,682490.9799198814,6914187.0,5948999.0,No Label
192.168.1.16-192.168.1.46-50118-21-6,192.168.1.16,50118,192.168.1.46,21,6,26/01/2024 02:36:08 PM,35229414,18,28,188.0,617.0,14.0,0.0,10.444444444444443,4.853406592853679,61.0,0.0,22.035714285714278,18.88460502309505,22.850223963418753,1.3057270836239285,782875.8666666666,2063034.3049442489,9968008.0,21.0,3.5227748E7,2072220.4705882352,3023076.6322255237,1.0014132E7,1003.0,2.5261406E7,935607.6296296297,1879746.226167289,6914323.0,21.0,0,0,0,0,360,584,0.5109366848963199,0.7947903987276087,0.0,61.0,17.127659574468087,16.01713351828162,256.5485661424606,0,1,0,0,0,0,0,0,1.0,17.5,10.444444444444445,22.035714285714285,0,0,0,0,0,0,18,188,28,617,-1,512,15,0,6166812.0,8649491.36781996,1.2282926E7,50698.0,6431765.0,682440.068231636,6914323.0,5949207.0,No Label
