Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.132.249.188-192.168.1.27-443-35150-6,142.132.249.188,443,192.168.1.27,35150,6,30/01/2024 06:04:50 PM,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,83,0,0,0,0,0,0,0,0,0,0,No Label
142.132.249.188-192.168.1.27-443-35150-6,192.168.1.27,35150,142.132.249.188,443,6,30/01/2024 06:04:50 PM,238,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,100840.33613445377,12605.042016806721,119.0,131.52186130069785,212.0,26.0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,0,0,0,0,0,64,32,8403.361344537814,4201.680672268907,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
142.132.249.188-192.168.1.27-443-35160-6,142.132.249.188,443,192.168.1.27,35160,6,30/01/2024 06:04:51 PM,391,1,5,24.0,24.0,24.0,24.0,24.0,0.0,24.0,0.0,4.8,10.73312629199899,122762.1483375959,15345.268542199488,78.2,107.69261813142069,257.0,0.0,0,0,0,0,0,391.0,97.75,113.6467480103735,257.0,15.0,0,0,0,0,32,172,2557.544757033248,12787.72378516624,0.0,24.0,6.857142857142858,11.710800875382398,137.14285714285714,1,0,0,0,1,0,0,0,5.0,8.0,24.0,4.8,0,0,0,0,0,0,1,24,5,24,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
142.132.249.188-192.168.1.27-443-35162-6,142.132.249.188,443,192.168.1.27,35162,6,30/01/2024 06:04:51 PM,387,1,5,24.0,24.0,24.0,24.0,24.0,0.0,24.0,0.0,4.8,10.73312629199899,124031.007751938,15503.87596899225,77.4,84.87814795340435,175.0,0.0,0,0,0,0,0,387.0,96.75,84.3183451766775,175.0,17.0,0,0,0,0,32,172,2583.9793281653747,12919.896640826873,0.0,24.0,6.857142857142858,11.710800875382398,137.14285714285714,1,0,0,0,1,0,0,0,5.0,8.0,24.0,4.8,0,0,0,0,0,0,1,24,5,24,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-212.36.83.246-47746-443-6,212.36.83.246,443,192.168.1.27,47746,6,30/01/2024 06:04:55 PM,488,0,3,0.0,31.0,0,0,0,0,31.0,0.0,10.333333333333332,17.8978583448784,63524.59016393443,6147.540983606557,244.0,296.98484809834997,454.0,34.0,0,0,0,0,0,488.0,244.0,296.98484809834997,454.0,34.0,0,0,0,0,0,96,0.0,6147.540983606557,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,0,1,0,0,0,0.0,10.333333333333334,0.0,10.333333333333334,0,0,0,0,0,0,0,0,3,31,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-34.246.143.94-48430-443-6,192.168.1.27,48430,34.246.143.94,443,6,30/01/2024 06:04:58 PM,583,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,132075.47169811322,5145.797598627788,291.5,342.94678887547553,534.0,49.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,0,0,1,0,0,64,32,3430.5317324185253,1715.2658662092626,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
172.67.10.198-192.168.1.27-443-44066-6,192.168.1.27,44066,172.67.10.198,443,6,30/01/2024 06:04:58 PM,1111,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,56705.6705670567,2700.2700270027003,555.5,753.0687219636732,1088.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,1,0,0,64,32,1800.1800180018001,900.0900090009001,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-64.158.223.146-57686-443-6,192.168.1.27,57686,64.158.223.146,443,6,30/01/2024 06:04:58 PM,1546,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,40750.3234152652,1940.4915912031047,773.0,1069.1454531540599,1529.0,17.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,0,0,1,0,0,64,32,1293.6610608020699,646.8305304010349,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-23.97.225.52-52276-443-6,192.168.1.27,52276,23.97.225.52,443,6,30/01/2024 06:04:58 PM,1913,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,40250.91479351804,1568.2174594877156,956.5,1327.2394282871496,1895.0,18.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,0,1,0,0,64,32,1045.4783063251436,522.7391531625718,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
172.67.10.198-192.168.1.27-443-44066-6,172.67.10.198,443,192.168.1.27,44066,6,30/01/2024 06:04:58 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-23.97.225.52-52276-443-6,23.97.225.52,443,192.168.1.27,52276,6,30/01/2024 06:04:58 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
